Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading and Mathematics,2019,31%,32%,24%,21%,24%,34%,*,67%,-,25%,12%,18%,25%,20%,22%,23%
,2018,31%,33%,25%,23%,25%,25%,17%,57%,*,25%,16%,18%,27%,18%,23%,23%
Reading and Mathematics Including EOC,2019,31%,32%,24%,21%,24%,34%,*,67%,-,25%,12%,18%,25%,20%,22%,23%
,2018,31%,33%,25%,23%,25%,25%,17%,57%,*,25%,16%,18%,27%,18%,23%,23%
Reading Including EOC,2019,37%,38%,30%,29%,29%,42%,*,67%,-,25%,15%,36%,31%,25%,28%,28%
,2018,39%,41%,31%,31%,31%,32%,17%,71%,*,25%,18%,23%,33%,25%,30%,28%
Math Including EOC,2019,48%,49%,46%,41%,46%,52%,*,100%,-,75%,17%,41%,48%,40%,44%,47%
,2018,45%,47%,44%,41%,44%,45%,43%,79%,*,38%,21%,36%,47%,35%,42%,45%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,32%,28%,32%,34%,0%,77%,*,56%,13%,30%,36%,20%,30%,30%
,2018,35%,37%,28%,24%,28%,28%,17%,69%,-,33%,14%,19%,30%,23%,27%,28%
Reading and Mathematics Including EOC,2019,37%,40%,32%,28%,32%,34%,0%,77%,*,56%,13%,30%,36%,20%,30%,30%
,2018,36%,38%,28%,24%,28%,28%,17%,69%,-,33%,14%,19%,30%,23%,27%,28%
Reading Including EOC,2019,49%,51%,43%,38%,43%,46%,40%,85%,*,67%,16%,30%,47%,30%,41%,40%
