Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,31%,32%,40%,23%,29%,57%,58%,62%,26%,44%,13%,41%,43%,31%,25%,10%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,34%,22%,25%,48%,45%,61%,32%,47%,22%,31%,37%,26%,20%,24%
,2018,34%,34%,35%,23%,26%,49%,38%,55%,29%,41%,24%,15%,37%,28%,22%,20%
Reading and Mathematics Including EOC,2019,35%,36%,34%,22%,25%,48%,45%,61%,32%,47%,22%,31%,37%,26%,20%,24%
,2018,34%,34%,35%,23%,26%,49%,38%,55%,29%,41%,24%,15%,37%,28%,22%,20%
Reading Including EOC,2019,45%,45%,46%,34%,38%,59%,64%,69%,42%,58%,28%,40%,48%,38%,30%,36%
,2018,43%,44%,46%,33%,37%,62%,38%,59%,41%,51%,31%,28%,48%,40%,32%,28%
Math Including EOC,2019,49%,48%,45%,30%,37%,57%,45%,72%,40%,66%,27%,35%,47%,36%,31%,37%
,2018,47%,48%,47%,32%,40%,58%,54%,74%,47%,51%,32%,27%,50%,37%,34%,40%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,34%,19%,27%,49%,40%,54%,44%,37%,22%,22%,38%,26%,19%,23%
,2018,36%,37%,38%,19%,30%,51%,11%,69%,23%,46%,25%,35%,41%,30%,25%,28%
Reading and Mathematics Including EOC,2019,35%,36%,34%,19%,27%,49%,40%,54%,44%,37%,22%,22%,38%,26%,19%,23%
,2018,36%,37%,38%,19%,30%,51%,11%,69%,23%,46%,25%,35%,41%,30%,25%,28%
Reading Including EOC,2019,44%,45%,45%,28%,39%,60%,50%,62%,50%,47%,25%,39%,49%,37%,27%,32%
,2018,46%,46%,49%,30%,42%,63%,22%,73%,32%,62%,30%,44%,52%,42%,36%,36%
Math Including EOC,2019,48%,49%,44%,26%,38%,59%,50%,64%,44%,47%,28%,34%,48%,36%,29%,37%
,2018,49%,51%,49%,27%,41%,63%,56%,85%,45%,52%,32%,48%,53%,40%,34%,42%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,46%,27%,38%,62%,14%,81%,21%,56%,19%,44%,51%,34%,28%,35%
,2018,44%,44%,49%,31%,41%,64%,25%,72%,37%,59%,26%,48%,53%,40%,32%,36%
Reading and Mathematics Including EOC,2019,44%,44%,46%,27%,38%,62%,14%,81%,21%,56%,19%,44%,51%,34%,28%,35%
,2018,44%,44%,49%,31%,41%,64%,25%,72%,37%,59%,26%,48%,53%,40%,32%,36%
Reading Including EOC,2019,54%,54%,57%,39%,50%,72%,14%,83%,38%,63%,24%,52%,60%,48%,41%,44%
,2018,54%,54%,61%,43%,53%,75%,33%,78%,58%,73%,33%,59%,64%,54%,45%,46%
Math Including EOC,2019,58%,59%,56%,34%,50%,73%,71%,91%,42%,59%,28%,58%,61%,45%,40%,52%
,2018,58%,59%,61%,40%,55%,74%,50%,86%,47%,64%,36%,59%,64%,52%,46%,52%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,33%,18%,25%,47%,14%,49%,23%,45%,17%,30%,35%,27%,19%,20%
,2018,31%,33%,35%,22%,27%,48%,33%,53%,8%,44%,19%,34%,38%,27%,24%,25%
Reading and Mathematics Including EOC,2019,31%,32%,33%,18%,25%,47%,14%,49%,23%,45%,17%,30%,35%,27%,19%,20%
,2018,31%,33%,35%,22%,27%,48%,33%,53%,8%,44%,19%,34%,38%,27%,24%,25%
Reading Including EOC,2019,37%,38%,40%,26%,33%,54%,21%,54%,36%,53%,20%,37%,42%,34%,26%,26%
,2018,39%,41%,44%,31%,37%,57%,42%,61%,15%,48%,21%,37%,47%,36%,31%,32%
Math Including EOC,2019,48%,49%,46%,29%,39%,62%,43%,69%,23%,66%,24%,47%,50%,38%,31%,36%
,2018,45%,47%,47%,31%,39%,62%,42%,75%,38%,63%,21%,46%,51%,39%,35%,40%
7th Graders,,,,,,,,,,,,,,,,,
